date,gos_organ,page
2015-02-27,Роскомнадзор,1
2015-02-27,ФСКН,2
2015-02-27,суды,8
2015-03-02,ФСКН,2
2015-03-02,суды,3
2015-03-03,ФСКН,1
2015-03-03,суды,6
2015-03-04,суды,7
2015-03-05,суды,1
2015-03-06,ФСКН,1
2015-03-06,суды,1
2015-03-07,Роскомнадзор,1
2015-03-07,ФСКН,1
2015-03-10,ФСКН,2
2015-03-10,суды,19
2015-03-11,ФСКН,3
2015-03-11,суды,32
2015-03-12,Генпрокуратура,16459
2015-03-12,Роскомнадзор,1
2015-03-12,ФСКН,1
2015-03-12,суды,61
2015-03-13,суды,2
2015-03-16,ФСКН,1
2015-03-16,суды,4
2015-03-17,Генпрокуратура,2
2015-03-17,ФСКН,3
2015-03-17,суды,5
2015-03-18,суды,18
2015-03-19,Генпрокуратура,3
2015-03-19,Роскомнадзор,1
2015-03-19,суды,4
2015-03-20,ФСКН,4
2015-03-20,суды,1
2015-03-23,ФСКН,1
2015-03-23,суды,1
2015-03-24,ФСКН,1
2015-03-24,суды,48
2015-03-25,ФСКН,1
2015-03-25,суды,1
2015-03-26,суды,4
2015-03-27,ФСКН,3
2015-03-30,Роскомнадзор,1
2015-03-30,ФСКН,1
2015-03-30,суды,24
2015-03-31,Генпрокуратура,3
2015-03-31,ФСКН,2
2015-03-31,суды,4
2015-04-01,Роскомнадзор,1
2015-04-01,ФСКН,1
2015-04-01,суды,1
2015-04-02,суды,1
2015-04-03,Генпрокуратура,20233
2015-04-06,Роскомнадзор,1
2015-04-06,ФСКН,2
2015-04-06,суды,13
2015-04-07,Генпрокуратура,4
2015-04-07,Роскомнадзор,1
2015-04-07,ФСКН,4
2015-04-07,суды,30
2015-04-08,ФСКН,1
2015-04-08,суды,4
2015-04-09,ФСКН,1
2015-04-09,суды,7
2015-04-13,Генпрокуратура,1
2015-04-13,суды,4
2015-04-14,Генпрокуратура,5
2015-04-14,Роскомнадзор,1
2015-04-14,ФСКН,3
2015-04-14,суды,37
2015-04-15,ФСКН,2
2015-04-15,суды,30
2015-04-16,ФСКН,1
2015-04-16,суды,17
2015-04-17,ФСКН,1
2015-04-17,суды,13
2015-04-20,ФСКН,1
2015-04-20,суды,5
2015-04-21,Роскомнадзор,1
2015-04-21,ФСКН,5
2015-04-21,суды,9
2015-04-22,Роскомнадзор,1
2015-04-22,ФСКН,1
2015-04-22,суды,1
2015-04-23,Роскомнадзор,5
2015-04-23,ФСКН,1
2015-04-23,суды,4
2015-04-24,суды,42
2015-04-27,Роскомнадзор,6
2015-04-27,суды,5
2015-04-28,Роскомнадзор,2
2015-04-28,ФСКН,1
2015-04-28,суды,8
2015-04-29,ФСКН,5
2015-04-29,суды,2
2015-04-30,Роскомнадзор,2
2015-04-30,суды,5
2015-05-06,ФСКН,1
2015-05-06,суды,5
2015-05-07,суды,21
2015-05-08,Генпрокуратура,1
2015-05-08,Роскомнадзор,4
2015-05-08,ФСКН,1
2015-05-08,суды,77
2015-05-12,суды,44
2015-05-13,Роскомнадзор,109
2015-05-13,ФСКН,2
2015-05-13,суды,88
2015-05-14,Роскомнадзор,2
2015-05-14,ФСКН,2
2015-05-14,суды,3
2015-05-15,Роскомнадзор,3
2015-05-15,суды,3
2015-05-18,суды,116
2015-05-19,Роскомнадзор,1
2015-05-19,ФСКН,7
2015-05-19,суды,13
2015-05-20,ФСКН,1
2015-05-20,суды,10
2015-05-21,Генпрокуратура,2
2015-05-21,Роскомнадзор,7
2015-05-21,суды,5
2015-05-22,суды,34
2015-05-25,ФСКН,1
2015-05-25,суды,25
2015-05-26,Роскомнадзор,4
2015-05-26,ФСКН,2
2015-05-26,суды,3
2015-05-27,Роскомнадзор,2
2015-05-27,суды,11
2015-05-28,суды,25
2015-05-29,суды,2
2015-06-01,Роскомнадзор,1
2015-06-01,ФСКН,3
2015-06-01,суды,3
2015-06-02,ФСКН,1
2015-06-02,суды,29
2015-06-03,суды,8
2015-06-04,Роскомнадзор,2
2015-06-04,ФСКН,1
2015-06-04,суды,2
2015-06-05,ФСКН,3
2015-06-08,ФСКН,4
2015-06-08,суды,29
2015-06-09,суды,10
2015-06-10,Генпрокуратура,1
2015-06-10,Роскомнадзор,7
2015-06-10,суды,2
2015-06-11,суды,45
2015-06-12,Роскомнадзор,5
2015-06-15,суды,6
2015-06-16,Генпрокуратура,2
2015-06-16,Роскомнадзор,1
2015-06-16,суды,20
2015-06-17,Роскомнадзор,2
2015-06-17,ФСКН,2
2015-06-17,суды,8
2015-06-18,Роскомнадзор,2
2015-06-18,суды,21
2015-06-19,Роскомнадзор,1
2015-06-19,суды,1
2015-06-22,Генпрокуратура,21
2015-06-22,суды,24
2015-06-23,Роскомнадзор,3
2015-06-23,ФСКН,4
2015-06-23,суды,5
2015-06-24,Роскомнадзор,3
2015-06-24,ФСКН,51
2015-06-24,суды,3
2015-06-25,ФСКН,1
2015-06-25,суды,20
2015-06-26,Роскомнадзор,1
2015-06-26,ФСКН,1
2015-06-26,суды,37
2015-06-29,Роскомнадзор,2
2015-06-29,суды,9
2015-06-30,Роскомнадзор,2
2015-06-30,ФСКН,2
2015-06-30,суды,8
2015-07-01,Роскомнадзор,1
2015-07-01,ФСКН,1
2015-07-01,суды,5
2015-07-02,суды,4
2015-07-03,ФСКН,2
2015-07-03,суды,4
2015-07-05,суды,50
2015-07-06,Генпрокуратура,12
2015-07-06,ФСКН,1
2015-07-06,суды,14
2015-07-07,Роскомнадзор,1
2015-07-07,ФСКН,1
2015-07-07,суды,11
2015-07-08,суды,18
2015-07-09,Роскомнадзор,3
2015-07-09,суды,10
2015-07-10,Роскомнадзор,1
2015-07-10,суды,7
2015-07-13,суды,21
2015-07-14,Генпрокуратура,1
2015-07-14,Роскомнадзор,2
2015-07-14,суды,7
2015-07-15,ФСКН,3
2015-07-15,суды,5
2015-07-16,Роскомнадзор,1
2015-07-16,ФСКН,2
2015-07-16,суды,2
2015-07-20,Роскомнадзор,1
2015-07-20,ФСКН,4
2015-07-20,суды,10
2015-07-21,Генпрокуратура,1
2015-07-21,Роскомнадзор,2
2015-07-21,ФСКН,1
2015-07-21,суды,8
2015-07-22,суды,3
2015-07-23,Роскомнадзор,5
2015-07-23,ФСКН,6
2015-07-23,суды,5
2015-07-24,ФСКН,1
2015-07-24,суды,5
2015-07-27,Роспотребнадзор,1
2015-07-27,ФСКН,1
2015-07-27,суды,3
2015-07-28,суды,7
2015-07-29,ФСКН,1
2015-07-29,суды,2
2015-07-30,ФСКН,1
2015-07-30,суды,5
2015-07-31,суды,1
2015-08-03,ФСКН,1
2015-08-03,суды,4
2015-08-04,Роскомнадзор,1
2015-08-04,суды,9
2015-08-05,ФСКН,1
2015-08-05,суды,16
2015-08-06,Роскомнадзор,1
2015-08-06,ФСКН,2
2015-08-06,суды,4
2015-08-07,Роскомнадзор,2
2015-08-07,ФСКН,3
2015-08-07,суды,13
2015-08-10,суды,32
2015-08-11,Роскомнадзор,2
2015-08-11,суды,6
2015-08-12,Роскомнадзор,1
2015-08-12,суды,2
2015-08-13,ФСКН,9
2015-08-13,суды,5
2015-08-14,ФСКН,1
2015-08-14,суды,16
2015-08-15,Роскомнадзор,1
2015-08-17,Роскомнадзор,14
2015-08-17,ФСКН,1
2015-08-17,суды,11
2015-08-18,Роскомнадзор,12
2015-08-18,ФСКН,2
2015-08-18,суды,2
2015-08-19,суды,12
2015-08-20,ФСКН,2
2015-08-20,суды,3
2015-08-21,ФСКН,1
2015-08-24,Роскомнадзор,5
2015-08-24,ФСКН,1
2015-08-24,суды,2
2015-08-25,Роскомнадзор,2
2015-08-25,ФСКН,2
2015-08-25,суды,7
2015-08-26,Роскомнадзор,1
2015-08-26,ФСКН,1
2015-08-26,суды,191
2015-08-27,Роскомнадзор,23
2015-08-27,ФСКН,1
2015-08-27,суды,11
2015-08-28,Роскомнадзор,3
2015-08-28,суды,13
2015-08-31,Роскомнадзор,1
2015-08-31,ФСКН,6
2015-09-01,Роскомнадзор,2
2015-09-01,ФСКН,2
2015-09-03,Роскомнадзор,2
2015-09-03,суды,4
2015-09-04,Роскомнадзор,12
2015-09-04,суды,7
2015-09-07,Роскомнадзор,17
2015-09-07,ФСКН,1
2015-09-08,Роскомнадзор,8
2015-09-08,ФСКН,1
2015-09-08,суды,2
2015-09-09,Генпрокуратура,2
2015-09-09,ФСКН,1
2015-09-10,Роскомнадзор,3
2015-09-10,суды,6
2015-09-11,ФСКН,1
2015-09-11,суды,3
2015-09-14,суды,4
2015-09-15,Роскомнадзор,51
2015-09-15,Роспотребнадзор,1
2015-09-15,суды,13
2015-09-16,Роскомнадзор,24
2015-09-16,Роспотребнадзор,1
2015-09-16,суды,2
2015-09-17,ФСКН,1
2015-09-17,суды,95
2015-09-18,Роскомнадзор,2
2015-09-18,Роспотребнадзор,1
2015-09-18,ФСКН,1
2015-09-18,суды,1
2015-09-21,суды,11
2015-09-22,ФСКН,1
2015-09-22,суды,2
2015-09-23,Роскомнадзор,5
2015-09-24,Роспотребнадзор,1
2015-09-24,суды,3
2015-09-25,Генпрокуратура,1
2015-09-25,Роскомнадзор,10
2015-09-25,Роспотребнадзор,1
2015-09-25,суды,81
2015-09-28,Роскомнадзор,2
2015-09-28,суды,9
2015-09-29,суды,7
2015-09-30,Генпрокуратура,14
2015-09-30,Роскомнадзор,1
2015-10-01,Роскомнадзор,1
2015-10-01,ФСКН,1
2015-10-01,суды,13
2015-10-02,Генпрокуратура,8
2015-10-02,ФСКН,1
2015-10-02,суды,1
2015-10-05,Роспотребнадзор,1
2015-10-05,суды,29
2015-10-06,Роскомнадзор,4
2015-10-06,суды,4
2015-10-07,Роскомнадзор,96
2015-10-07,суды,17
2015-10-08,Генпрокуратура,42
2015-10-08,Роспотребнадзор,2
2015-10-08,ФСКН,1
2015-10-08,суды,12
2015-10-09,Роскомнадзор,2
2015-10-09,Роспотребнадзор,1
2015-10-09,ФСКН,1
2015-10-10,Роспотребнадзор,1
2015-10-12,Роспотребнадзор,1
2015-10-12,ФСКН,1
2015-10-13,суды,6
2015-10-14,Роскомнадзор,1
2015-10-14,Роспотребнадзор,1
2015-10-14,суды,24
2015-10-15,Роскомнадзор,1
2015-10-15,суды,9
2015-10-16,Роскомнадзор,1
2015-10-16,Роспотребнадзор,1
2015-10-16,ФСКН,3
2015-10-16,суды,6
2015-10-19,Роскомнадзор,2
2015-10-19,суды,10
2015-10-20,Роскомнадзор,2
2015-10-20,Роспотребнадзор,1
2015-10-20,суды,3
2015-10-21,Роскомнадзор,2
2015-10-21,ФСКН,1
2015-10-21,суды,10
2015-10-22,Роскомнадзор,1
2015-10-22,ФСКН,1
2015-10-22,суды,28
2015-10-23,Роспотребнадзор,1
2015-10-23,суды,4
2015-10-25,суды,1
2015-10-26,Роскомнадзор,1
2015-10-26,суды,3
2015-10-27,ФСКН,1
2015-10-27,суды,59
2015-10-28,ФСКН,2
2015-10-28,суды,8
2015-10-29,Роскомнадзор,1
2015-10-30,Роскомнадзор,2
2015-10-30,суды,50
2015-11-02,Роскомнадзор,2
2015-11-02,ФСКН,1
2015-11-02,суды,16
2015-11-03,Роскомнадзор,2
2015-11-03,ФСКН,1
2015-11-03,суды,4
2015-11-05,Роскомнадзор,1
2015-11-05,Роспотребнадзор,2
2015-11-05,ФСКН,2
2015-11-05,суды,2
2015-11-06,суды,22
2015-11-09,Роскомнадзор,3
